collection_cycle,cycle_time,snapshots,snapshot_candidate_rows
0,2026-07-19 11:00:21.154292+00:00,4,13
1,2026-07-19 15:05:34.456554+00:00,4,10
2,2026-07-19 19:54:24.017436+00:00,4,9
3,2026-07-19 22:35:24.448866+00:00,4,9
4,2026-07-20 04:26:59.935935+00:00,4,9
5,2026-07-20 14:58:01.914501+00:00,1,6
6,2026-07-20 17:08:08.520760+00:00,1,6
7,2026-07-20 20:12:59.842827+00:00,4,33
8,2026-07-20 22:39:48.024389+00:00,4,33
9,2026-07-21 11:43:13.321628+00:00,3,27
10,2026-07-21 14:48:45.448587+00:00,3,27
11,2026-07-21 20:06:36.791933+00:00,4,37
12,2026-07-21 22:36:19.807256+00:00,4,36
13,2026-07-22 09:46:21.180020+00:00,4,34
14,2026-07-22 11:32:12.053045+00:00,4,34
