collection_cycle,cycle_time,snapshots,snapshot_candidate_rows
0,2026-07-19 15:05:35.051985+00:00,2,2
1,2026-07-19 19:54:24.289425+00:00,2,3
2,2026-07-19 22:35:24.448866+00:00,3,4
3,2026-07-20 04:26:59.935935+00:00,1,1
4,2026-07-20 14:58:01.914501+00:00,1,3
5,2026-07-20 17:08:08.520760+00:00,1,2
6,2026-07-20 20:12:59.842827+00:00,4,14
7,2026-07-20 22:39:48.024389+00:00,3,11
8,2026-07-21 11:43:13.321628+00:00,3,11
9,2026-07-21 14:48:45.448587+00:00,3,15
10,2026-07-21 20:06:36.791933+00:00,4,17
11,2026-07-21 22:36:19.807256+00:00,4,18
12,2026-07-22 09:46:21.180020+00:00,4,18
13,2026-07-22 11:32:12.053045+00:00,4,21
14,2026-07-22 17:37:39.879614+00:00,4,15
15,2026-07-22 20:13:41.101887+00:00,4,15
16,2026-07-22 22:43:51.656552+00:00,4,12
