provider,snapshot_ingested_at_utc,event_id,sport_key,sport_title,commence_time,commence_time_valid,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,bookmaker_last_update_valid,market_key,market_last_update,market_last_update_valid,outcome_name,outcome_description,price_decimal,price_valid_decimal,point,point_present,outcome_link,outcome_sid
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,virginbet,Virgin Bet,2026-07-21T22:35:41Z,True,h2h,2026-07-21T22:35:41Z,True,Fortaleza,,2.75,True,,False,,
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,virginbet,Virgin Bet,2026-07-21T22:35:41Z,True,h2h,2026-07-21T22:35:41Z,True,Vila Nova,,2.32,True,,False,,
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,virginbet,Virgin Bet,2026-07-21T22:35:41Z,True,h2h,2026-07-21T22:35:41Z,True,Draw,,2.9,True,,False,,
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,grosvenor,Grosvenor,2026-07-21T22:35:41Z,True,h2h,2026-07-21T22:35:41Z,True,Fortaleza,,2.8,True,,False,,
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,grosvenor,Grosvenor,2026-07-21T22:35:41Z,True,h2h,2026-07-21T22:35:41Z,True,Vila Nova,,2.38,True,,False,,
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,grosvenor,Grosvenor,2026-07-21T22:35:41Z,True,h2h,2026-07-21T22:35:41Z,True,Draw,,2.95,True,,False,,
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,livescorebet,LiveScore Bet,2026-07-21T22:35:32Z,True,h2h,2026-07-21T22:35:32Z,True,Fortaleza,,2.75,True,,False,,
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,livescorebet,LiveScore Bet,2026-07-21T22:35:32Z,True,h2h,2026-07-21T22:35:32Z,True,Vila Nova,,2.32,True,,False,,
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,livescorebet,LiveScore Bet,2026-07-21T22:35:32Z,True,h2h,2026-07-21T22:35:32Z,True,Draw,,2.9,True,,False,,
the_odds_api_v4,2026-07-21T22:36:20.786989Z,c8f02f4eaf38dfd1c2b87fed2125ccf1,soccer_brazil_serie_b,Brazil Série B,2026-07-22T00:35:00Z,True,Vila Nova,Fortaleza,casumo,Casumo,2026-07-21T22:35:32Z,True,h2h,2026-07-21T22:35:32Z,True,Fortaleza,,2.9,True,,False,,
