provider,snapshot_ingested_at_utc,event_id,sport_key,sport_title,commence_time,commence_time_valid,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,bookmaker_last_update_valid,market_key,market_last_update,market_last_update_valid,outcome_name,outcome_description,price_decimal,price_valid_decimal,point,point_present,outcome_link,outcome_sid
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,casumo,Casumo,2026-07-22T11:31:38Z,True,h2h,2026-07-22T11:31:38Z,True,Independiente Medellín,,2.28,True,,False,,
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,casumo,Casumo,2026-07-22T11:31:38Z,True,h2h,2026-07-22T11:31:38Z,True,Vasco da Gama,,3.15,True,,False,,
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,casumo,Casumo,2026-07-22T11:31:38Z,True,h2h,2026-07-22T11:31:38Z,True,Draw,,3.25,True,,False,,
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,livescorebet,LiveScore Bet,2026-07-22T11:31:09Z,True,h2h,2026-07-22T11:31:09Z,True,Independiente Medellín,,2.2,True,,False,,
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,livescorebet,LiveScore Bet,2026-07-22T11:31:09Z,True,h2h,2026-07-22T11:31:09Z,True,Vasco da Gama,,3.05,True,,False,,
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,livescorebet,LiveScore Bet,2026-07-22T11:31:09Z,True,h2h,2026-07-22T11:31:09Z,True,Draw,,3.15,True,,False,,
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,leovegas,LeoVegas,2026-07-22T11:31:19Z,True,h2h,2026-07-22T11:31:18Z,True,Independiente Medellín,,2.3,True,,False,,
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,leovegas,LeoVegas,2026-07-22T11:31:19Z,True,h2h,2026-07-22T11:31:18Z,True,Vasco da Gama,,3.2,True,,False,,
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,leovegas,LeoVegas,2026-07-22T11:31:19Z,True,h2h,2026-07-22T11:31:18Z,True,Draw,,3.15,True,,False,,
the_odds_api_v4,2026-07-22T11:32:13.525373Z,04fd513adb50860e553553a771be0887,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-07-22T22:00:00Z,True,Independiente Medellín,Vasco da Gama,virginbet,Virgin Bet,2026-07-22T11:31:18Z,True,h2h,2026-07-22T11:31:18Z,True,Independiente Medellín,,2.2,True,,False,,
